societe,page,table_num,col,Juste Valeur,col_2,col_3,Garanties,"Une provision pour garantie est
MAGHREBIA,81,1,‐,,‐,‐,,,,,,,,,,,,,,"- Un risque de sous-tarification de certains produits
d’assurance résultant de la non-prise en compte des enjeux
liés au changement climatique dans l’évaluation et la
tarification des risques",+/‐,"moyen et
long terme",,,,
MAGHREBIA,81,1,Primes acquises,,"Flux de trésorerie
liés à l'exploitation",Placements,,,,,,,,,,,,,,,Poste,,,,,
MAGHREBIA,81,1,‐,,‐,‐,,,,,,,,,,,,,,"- Un risque de dépréciation des placements financiers dans
les capitaux des sociétés impactées, directement ou
indirectement, par l’entrée en vigueur de la réglementation
européenne sur l’exportation et la taxation des produits à
forte intensité carbone, en perdant leurs compétitivités et
leurs performances financières, en particulier pour les
sociétés tunisiennes exportatrices vers l’Union Européenne",+/‐,"moyen et
long terme",,,,
MAGHREBIA,81,1,"Produits et charges
des placements",,"Flux de trésorerie
liés à l'exploitation",Placements,,,,,,,,,,,,,,,Poste,,,,,
MAGHREBIA,81,1,+,,+,+,,,,,,,,,,,,,,"L’opportunité de concevoir des produits d’épargne durable
repose sur l’évolution des attentes des épargnants, de plus en
plus sensibles aux enjeux environnementaux, sociaux et de
gouvernance (ESG).",+/‐,"moyen et
long terme",,,,
MAGHREBIA,81,1,"Primes acquises/
Charges de sinistres",,"Flux de trésorerie
liés à l'exploitation",Placements,,,,,,,,,,,,,,,Poste,,,,,
MAGHREBIA,83,1,"Montant des investissements durables
engagés en DT",,,,,,,,,,,,,,,,,,,,"Investissement
Responsable",46 817 858,46 817 858,21 192 865
MAGHREBIA,83,1,Nombre de clients de micro(cid:0)assurance,,,,,,,,,,,,,,,,,,,,Inclusion financière,555 297,524 582,495 677
MAGHREBIA,83,1,"Montant des emprunts obligataires
souscrits auprès des institutions de
micro(cid:0)crédit en DT",,,,,,,,,,,,,,,,,,,,,35 220 000,42 860 000,50 800 000
MAGHREBIA,83,1,"Montants desemprunts obligataireset
emprunts national souscrits en DT",,,,,,,,,,,,,,,,,,,,"Financement de
l’État",285 099 284,223 024 508,207 744 708
MAGHREBIA,83,1,"Analyse des risques liés à la santé et à la
sécurité au travail (SST) et mise en place
d’unpland’atténuationdesrisquesSST
y compris les risques psychosociaux
(Oui/Non)",,,,,,,,,,,,,,,,,,,,"Santé et sécurité au
travail",Oui,Oui,Oui
MAGHREBIA,83,1,"L’existence d’une politiqueaux seinde
l’entreprise relative aux droits de
l’Homme (Oui/ Non)",,,,,,,,,,,,,,,,,,,,Droit de l'Homme,"Oui
Intégrée dans le Code
d'Ethique et au
niveau de
l'engagement RSE
pour les relations
avec les fournisseurs","Oui
Intégrée dans le Code
d'Ethique et au
niveau de
l'engagement RSE
pour les relations
avec les fournisseurs","Oui
Intégrée dans le Code
d'Ethique et au
niveau de
l'engagement RSE
pour les relations
avec les fournisseurs"
MAGHREBIA,83,1,"SiOui,est‐cequecettepolitiquecouvre
les fournisseurs (Oui/ non)",,,,,,,,,,,,,,,,,,,,,Oui,Oui,Oui
MAGHREBIA,83,1,Émissions directes de GES (Scope 1),,,,,,,,,,,,,,,,,,,,"Changements
climatiques",64 T CO2,92 TCO2,68 TCO2
MAGHREBIA,83,1,Émissions directes de GES (Scope 2),,,,,,,,,,,,,,,,,,,,,,,
MAGHREBIA,83,1,"Nombre d’arbres implantés dans le
cadreduprojetdedécarbonisationpar
le reboisement et les investissements
forestiers durables",,,,,,,,,,,,,,,,,,,,"Actions
d’atténuation des
changements
climatiques",3750,‐,‐
MAGHREBIA,83,1,"Montant investi dans des projets
d’énergie renouvelable.",,,,,,,,,,,,,,,,,,,,,‐,‐,‐
MAGHREBIA,83,1,"Existence d’une politique générale
d’atténuation des risques liés aux
changements climatiques (Oui/Non)",,,,,,,,,,,,,,,,,,,,,"Non*
Mais nous menons
une campagne
annuelle de
reboisement","Non*
Mais nous menons
une campagne
annuelle de
reboisement",Non
MAGHREBIA,83,1,"Ratio d’intensité énergétique de
l’entreprise : la consommation
énergétique absolue (numérateur)
divisé par le paramètre spécifique de
l’organisation (dénominateur)",,,,,,,,,,,,,,,,,,,,"Intensité
énergétique","1,059 Kwh/kDT de CA","1,674 Kwh/kDT de CA","1,419 Kwh/kDT de CA"
MAGHREBIA,83,1,Volume total d’eau prélevé par source,,,,,,,,,,,,,,,,,,,,Eau et effluent,876 m3,1284 m3,1119 m3
MAGHREBIA,83,1,"Pourcentage et volume total d'eau
recyclée et réutilisée",,,,,,,,,,,,,,,,,,,,,0%,0%,0%
MAGHREBIA,83,1,"Lepourcentagedefemmesauseindes
instances de gouvernance et de
direction de l’organisation.",,,,,,,,,,,,,,,,,,,,"Diversité des
organes de direction",50%,50%,50%
MAGHREBIA,83,1,"Lepourcentagedesfemmesauseindes
comités du Conseil d’Administration.",,,,,,,,,,,,,,,,,,,,,40%,40%,40%
MAGHREBIA,83,1,"Le ratio entre la rémunération
moyenne des hommes et la
rémunérationmoyennedesfemmeset
ce par catégorie professionnelle.",,,,,,,,,,,,,,,,,,,,"Diversité et Egalité
des Chances","Cadre : 93,2%
Maîtrise : 99,3%
Agent d'exécution :
100%","Cadre : 96,7%
Maîtrise : 99,8%
Agent d'exécution :
100,0%","Cadre : 99,5%
Maîtrise : 101,0%
Agent d'exécution :
100,0%"
