societe,page,table_num,RUBRIQUE,Note,Exercice 2025,col,col_2,col_3,col_4,col_5,Exercice 2024,col_6,col_7,col_8,col_9,col_10,Notes,"Opérations brutes
TAKAFULIA,40,1,,,,"613 929
586 661
‐
27 268
‐
23 458
36 680
‐ 13 221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43 390 237
45 653 060
‐ 2 300 435
162 412
‐ 124 799
23 057 597
19 700 471
3 357 126",,,"Primes acquises
Primes émises
Variation des primes non acquises
Variation des primes acquises et non émises
Variation des primes à annuler
Charges de prestations
Prestations et frais payés
Charges des provisions pour prestations diverses","33 011 349
35 407 147
‐ 2 276 089
‐
‐ 119 709
18 623 622
15 568 657
3 054 965","1 317 913
1 370 566
46 169
‐ 100 258
1 436
115 391
326 429
‐ 211 038","2 087 996
2 128 397
‐ 36 883
‐
‐ 3 518
648 596
285 890
362 706","4 118 269
3 989 807
‐ 26 751
155 457
‐ 244
3 338 878
3 257 841
81 037","214 276
186 110
26 544
‐
1 622
59 539
30 869
28 670","85 523
79 513
5 987
‐
23
5 721
5 760
‐ 39","345 176
317 137
2 298
26 000
‐ 259
‐
‐
‐","1 453 520
1 473 004
‐ 15 334
‐
‐ 4 150
265 829
162 266
103 563","142 286
114 717
‐ 26 376
53 945
‐
‐ 23 440
26 078
‐ 49 518",,,,,,,,,,,,,,,,,
TAKAFULIA,40,1,,,,590 470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 332 641,,,Solde de souscription,14 387 727,1 202 522,1 439 400,779 391,154 737,79 801,345 176,1 187 691,165 726,,,,,,,,,,,,,,,,,
TAKAFULIA,40,1,,,,"‐ 2 838
‐
‐
‐ 5 992
‐ 38 890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"‐ 7 619 966
‐
‐ 3 378 017
‐ 466 314
‐ 3 026 328",,,"Frais d’acquisition
Autres produits techniques
Autres charges de gestion nettes
Charge Moudharba
CHARGE TECHNIQUE","‐ 5 510 913
‐
‐ 2 859 256
‐ 361 659
‐ 2 347 130","‐ 326 112
‐
‐ 45 344
‐ 13 999
‐ 90 854","‐ 489 447
‐
‐ 139 689
‐ 21 740
‐ 141 091","‐ 784 574
‐
‐ 193 466
‐ 40 753
‐ 264 483","‐ 46 114
‐
‐ 16 327
‐ 1 901
‐ 12 337","‐ 27 911
‐
‐ 6 590
‐ 812
‐ 5 271","‐ 111 436
‐
‐ 11 262
‐ 3 239
‐ 21 023","‐ 283 919
‐
‐ 106 082
‐ 15 046
‐ 97 645","‐ 36 703
‐
‐
‐ 1 172
‐ 7 605",,,,,,,,,,,,,,,,,
TAKAFULIA,40,1,,,,‐ 47 720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,‐ 14 490 625,,,Charges d’acquisition et de gestion nettes,‐ 11 078 958,‐ 476 309,‐ 791 967,‐ 1 283 276,‐ 76 679,‐ 40 584,‐ 146 961,‐ 502 692,‐ 45 479,,,,,,,,,,,,,,,,,
TAKAFULIA,40,1,,,,50 612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 333 908,,,Produits nets de placements,2 612 220,104 374,130 845,276 123,9 077,6 376,29 788,110 649,3 845,,,,,,,,,,,,,,,,,
TAKAFULIA,40,1,,,,50 612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 333 908,,,Solde financier,2 612 220,104 374,130 845,276 123,9 077,6 376,29 788,110 649,3 845,,,,,,,,,,,,,,,,,
TAKAFULIA,40,1,,,,"‐
‐
‐
‐
‐",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"‐ 5 734 093
524 455
428 223
1 898 721
‐ 230 386",,,"Part des réassureurs rétakaful et / ou des rétrocessionnaires dans les
primes acquises
Part des réassureurs rétakaful et / ou des rétrocessionnaires dans les
prestations payées
Part des réassureurs rétakaful et / ou des rétrocessionnaires dans les
charges de provisions pour prestations
Commissions reçues des réassureurs rétakaful et / ou des
rétrocessionnaires
Variation du montant des frais d'acquisition reportés des réassureur","‐ 2 237 647
172 512
81 689
964 228
‐ 116 692","‐ 947 947
231 717
‐ 151 131
143 087
‐ 17 102","‐ 1 251 180
18 876
128 178
443 261
‐ 52 286","‐
‐
‐
‐
‐","‐ 28 648
‐
‐
2 962
‐ 336","‐ 643
‐
‐
‐
‐","‐ 220 028
‐
‐
‐
‐","‐ 1 040 557
76 441
392 194
355 960
‐ 43 970","‐ 7 443
24 910
‐ 22 707
‐ 10 777
‐",,,,,,,,,,,,,,,,,
TAKAFULIA,40,1,,,,‐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,‐ 3 113 081,,,Solde de réassurance et / ou de rétrocession,‐ 1 135 911,‐ 741 376,‐ 713 152,‐,‐ 26 022,‐ 643,‐ 220 028,‐ 259 933,‐ 16 017,,,,,,,,,,,,,,,,,
TAKAFULIA,40,1,,,,"‐ 24 359
‐ 38 665",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"‐ 1 721 574
‐ 3 008 869",,,"Impôt sur le résultat
Effet des modifications comptables","‐ 1 309 775
‐ 2 333 589","‐ 52 290
‐ 90 330","‐ 82 844
‐ 140 277","‐ 163 399
‐ 262 957","‐ 8 502
‐ 12 266","‐ 3 393
‐ 5 240","‐ 13 695
‐ 20 902","‐ 57 671
‐ 97 082","‐ 5 645
‐ 7 561",,,,,,,,,,,,,,,,,
TAKAFULIA,40,1,,,,530 340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 332 400,,,Résultat technique,1 141 714,‐53 411,‐157 995,‐654 119,40 345,36 316,‐26 622,380 964,94 868,,,,,,,,,,,,,,,,,
