societe,page,table_num,col,col_2,2025س ربمسيد 31 ىلا يفناج 01 نم,col_3,col_4,للاغتسلال ينابم,ةنس 50 ,تاريغت,2024 يفاصلا,col_5,2025 يفاصلا,col_6,col_7,ر صانعلا,col_8,2025 تاكلاهتس ا,col_9,2025 ماخلا,col_10,col_11,رصانعلا,col_12,2024يفاصلا,2025يفاصلا,2024 يّ تاّذلا لاوملأا,2025ةّيتاّذلا لاوملأا,2024 ةّيتاّذلا لاوملأا,2025 ةّيتاّذلا لاوملأا,عومجملا,ةيتاذ لاومأ,ةنسلا جئاتن,ةلجؤم جئاتن,تاطايتحا,لاملا سأر,col_13,col_14,سأر,ةـّينف تارخدّ م,"عومجملا
)3(+)2(-)1(",ثداوحلا ىلع تارخدملا,ىواعدلا تاعقوت,تاضيوعتلا تارخدم,تانايبلا,2024 ةيفاص طاسقأ,2025 ةيفاص طاسقأ,ةدنسم طاسقأ,ةرداص طاسقأ,نيمأّتلا طاسقأ,ةيفاص طاسقأ,"ةيفاص طاسقأ
2025",ناوعلأا ءابعا,2024,2025,غ لبملا,ة يفارغجلا ةقطنملا,"صقان وأ ضئاف
ةنماكلا ةميقلا",ةحيحص ةميق,يفاص غلبم,ماخ غلبم,تافيظوتلا ءابعأو تاداريإ عيزوت لودج :13 ددع قحلملا,:ةيلاملا مئاوقلاب نيمأتلا فانصأ بسح زجع وأ ضئاف طبر لودج :16 ددع قحلملا,:ةيلاملا مئاوقلاب نيمأتلا فانصأ بسح زجع وأ ضئاف طبر لودج : 17 ددع قحلملا,"2025-12-31 ف دئاوف
ي",غ لبملا فصر خــــيرات,ي مهاسملا,ة رادلاا سلجم ءاضعأ,دعاسملا ماعلا ريدملا,ماعلا ريدملا
AMANA,7,1,"يلفاكتلا نيمأتلا ةسسؤم
نيمأتلا ةداعإ وأ/و",نيكرتشملا قودنص,"وأ/و يلفاكتلا نيمأتلا ةسسؤم
ةدحوم يلفاكتلا نيمأتلا ةداعإ","يلفاكتلا نيمأتلا ةسسؤم
نيمأتلا ةداعإ وأ/و",نيكرتشملا قودنص,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,1,3 745 674,,,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,0,3 745 674,,,,2024 ةيبساحملا ةنسلا جئاتن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,1,5 273,,,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,5 273,0,,,,يعامتجلاا قودنصلا تاطايتحا ريغت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,1,,,,717 846,,,,,,3 745 674,,,,,,,,,,,,,,,,,,,33 548 585,,,8 781,8 931 274,20 145 010,2024/12 /31 نيح ىلإ ةدصرلأا عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,عيزوتلا لبق,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,1,,,,180 000,,,,,,-2 745 674,,,,,,,,,,,,,,,,,,,0,,,-2 049,2 567 723,0,عامتجا رضحم بسح جئاتنلا صيصخت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025 /05 /30 خيراتب ةيداعلا ةماعلا ةسلجلا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,1,-1 000 000,,,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,0,-1 000 000,,,,2025/07/01 نم اءادتبا ةعزوملا حابرلأا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,1,,,,897 846,,,,,,0,,,,,,,,,,,,,,,,,,,32 548 585,,,6 732,11 498 997,20 145 010,2024/12 /31 نيح ىلإ ةدصرلأا عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,عيزوتلا دعب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,1,5 328 831,,,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,0,5 328 831,,,,2025 ةيبساحملا ةنسلا جئاتن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,1,8 637,,,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,8 637,0,,,,يعامتجلاا قودنصلا تاطايتحا ريغت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,1,,,,906 483,,,,,,5 328 831,,,,,,,,,,,,,,,,,,,37 886 053,,,6 732,11 498 997,20 145 010,2025/12 /31 نيح ىلإ ةدصرلأا عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,عيزوتلا لبق,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ىرخأ,ةيبساحملا,,,,,,لاملا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,2,-2 125 077,,,,,,,,,,,,256 634,,,,,,,,,,,,,,,,,-2 943 990,562 279,,,,عيزوتلا لبق 2024/12 /31 نيح ىلإ ةدصرلأا عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,2,,,,800 000,,,,,,-562 279,,,,,,,,,,0,,,,,,,,,0,,,-237 721,0,,ةماعلا ةسلجلا عامتجا رضحم بسح جئاتنلا صيصخ,"ت
ا",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025/05/30 خيراتب ةيداعل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,2,-2 125 077,,,,,,,,,,,,18 912,,,,0,,,,,,,,,,,,,-2 143 990,0,,,,عيزوتلا دعب 2024/12 /31 نيح ىلإ ةدصرلأا عومجم,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,2,400 577,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,0,400 577,,,,2025 ةيبساحملا ةنسلا جئات,ن,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,2,-1 724 500,,,,,,,,,,,,18 912,,,,0,,,,,,,,,,,,,-2 143 990,400 577,,,,عيزوتلا لبق 2025/12 /31 نيح ىلإ ةدصرلأا عومجم,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,3,,,,,,,,3 765 939,,,23 120 910,,,,,,,,,,,,19 354 971,,,,,,,,,,,,,,,ةبستكملا ريغ نيمأّتلا طاسقأ تارخدّ م,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,3,,,,,,,,9 617 966,,,61 177 234,,,,,,,,,,,,51 559 269,,,,,,,,,,,,,,,يلئاعلا يلفاكتلا نيمأّتلا تارخدّ م,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,3,,,,,,,,1 005 326,,,2 036 193,,,,,,,,,,,,1 030 868,,,,,,,,,,,,,,,)يلئاعلا يلفاكتلا نيمأّتلا طاسقأ( تاضيوعتلا تارخدّ م,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,3,,,,,,,,2 484 360,,,42 801 120,,,,,,,,,,,,40 316 760,,,,,,,,,,,,,,,)ماعلا يلفاكتلا نيمأّتلا طاسقأ( تاضيوعتلا تارخدّ م,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,3,,,,,,,,19 614,,,40 232,,,,,,,,,,,,20 618,,,,,,,,,,,,,,,نزاوتلاو ليدعتلا تارخدم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,3,,,,,,,,698 130,,,1 585 618,,,,,,,,,,,,887 488,,,,,,,,,,,,,,,ىرخأ ةينف تارخدم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,3,,,,,,,,17 591 335,,,130 761 307,,,,,,,,,,,,113 169 974,,,,,,,,,,,,,,,عومجملا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حرصملا ريغو ةبكترملا,2025 ليصحتلل,2025 ةيوستلا تحت,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,)3 ( 2025 اهب,)2(,)1(,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,1,42 801 120,,,,,,,,,,,,,,,,ماعلا يلفاكتلا نيمأتلا,,,,,,,,,,,,,,,,,,,,,,,10 342 349,4 758 390,37 217 161,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,1,40 236 404,,,,,,,,,,,,,,,,تارايسلا ىلع يلفاكتلا نيمأتلا,,,,,,,,,,,,,,,,,,,,,,,9 815 029,2 760 970,33 182 345,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,1,-630 959,,,,,,,,,,,,,,,,لقنلا ىلع يلفاكتلا نيمأتلا,,,,,,,,,,,,,,,,,,,,,,,97 482,961 232,232 791,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,1,,,,10 000,,,,,,1 036 188,,,3 145 784,,,,رطاخملاو قيرحلا ىلع يلفاكتلا نيمأتلا,,,,,,,,,,,,,,,,,,,,,,2 119 596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,1,,,,,,,,,,,,,,,,,ةفلتخملا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,1,1 076 079,,,,,,,,,,,,,,,,ةحصلا ىلع يعامج لفاكت,,,,,,,,,,,,,,,,,,,,,,,419 838,0,656 241,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,)3(+)2(-)1(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,3,,,,,,,,,,,,,,,,,,,,,يلفاكتلا نيماتلا ةسسؤم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,3,,,,,,,,-19 533,773 153,,753 620,,,,,,,,,,مهب ةطبترم تاباسحو ناوعلأا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,3,,,,,,,,470 789,2 596 597,,3 067 386,,,,,,,,,,ةّيمومعلا تاعامجلاو ةلودّ لا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,3,,,,,,,,2 623 314,771 408,,3 394 722,,,,,,,,,,نوعوّنتم نونئاد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,3,,,,,,,,3 074 570,4 141 158,,7 215 728,,,,,,,,,,يلفاكتلا نيماتلا ةسسؤم عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,3,,,,,,,,,,,,,,,,,,,,,نيكرتشملا قودنص,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,3,,,,,,,,2 537 234,0,,2 537 234,,,,,,,,,,ةرشابملا يلفاكتلا نيمأتلا تايلمع نع ةدّـلوتم نويدلا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,3,,,,,,,,940 742,0,,940 742,,,,,,,,,,لفاكتلا ةداعإ تايلمع نع ةدّـلوتم نويدلا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,3,,,,,,,,3 000,60 486,,63 486,,,,,,,,,,نيمأتلا ءاطسوو باون نم اهيلع لصحتم تلاافكو عئادو,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,3,,,,,,,,-110 362,1 486 758,,1 376 396,,,,,,,,,,ةّيمومعلا تاعامجلاو ةلودّ لا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,3,,,,,,,,-1 422 094,9 128 683,,7 706 589,,,,,,,,,,نوعوّنتم نونئاد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,3,-878 410,,,2 956 507,,,,,,2 078 097,,,,,,,,,,,"ةبراضملا ،ةلاكولا ةلومع( قودنصلا لغشمل ةقحتسملا نويدلا
)نويدلا نم اهريغو",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,3,,,,,,,,1 070 110,13 632 434,,14 702 544,,,,,,,,,,نيكرتشملا قودنص عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,3,,,,,,,,4 144 680,17 773 592,,21 918 272,,,,,,,,,,ماعلا عومجملا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,4,,,,,,,,,,,,,,,,,,,,,نيكرتشملا قودنص,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,4,,,,,,,,140 122,410 810,,550 932,,,,,,,,,,يرخا ةيوست تاباسح,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,4,,,,,,,,140 122,410 810,,550 932,,,,,,,,,,نيكرتشملا قودنص عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,4,,,,,,,,140 122,410 810,,550 932,,,,,,,,,,ماعلا عومجملا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 904 846,12 879 752,-1 974 565,14 854 317,ةلوبقملاو ةرداصّ لا نيمأـّتلا طاسقأ,,,,,,,,,,,,,,,,,,,,
AMANA,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 904 846,12 879 752,-1 974 565,14 854 317,عومجملا,,,,,,,,,,,,,,,,,,,,
AMANA,20,1,,,,,,,,-48 053,-583 237,,-631 290,,,,,,,,,,ءانتقلاا تاقفن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,20,1,,,,,,,,-114 177,-974 897,,-1 089 074,,,,,,,,,,نيكرتشملا قودنص لهاك ىلع ةرادلإا تاقفن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,20,1,,,,,,,,-446 263,1 313 664,,867 402,,,,,,,,,,نيمأتلا يديعم نم اهيلع لصحتم تلاومع,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,20,1,,,,,,,,-608 493,-244 470,,-852 962,,,,,,,,,,عومجملا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,20,2,,,,,,,,1 769,-317 429,,-315 660,,,,,,,,,,ةبراضملا ةلومع,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,20,2,,,,,,,,-40 376,-357 686,,-398 061,,,,,,,,,,تافيظوتلا يف ىرخأ فرصتلا تاقفن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,20,2,,,,,,,,-38 607,-675 115,,-713 721,,,,,,,,,,عومجملا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,
AMANA,20,3,14 768 737,,,,,,,,,,,,61 396 176,,,,ةلوبقملاو ةرداصّ لا نيمأـّتلا طاسقأ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7 011 782,,,39 615 656,54 384 394,,,,,,,,,,,,,,,,,,
AMANA,20,3,-314 194,,,,,,,,,,,,-3 562 347,,,,ةبستكملا ريغ نيمأـّتلا طاسقأ تارخدّ م رّيغت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336 780,,,-2 911 372,-3 225 567,,,,,,,,,,,,,,,,,,
AMANA,20,3,14 454 543,,,,,,,,,,,,57 833 829,,,,عومجملا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6 675 002,,,36 704 284,51 158 827,,,,,,,,,,,,,,,,,,
AMANA,20,4,,,,,,,,-1 593 074,-6 671 080,,-8 264 154,,,,,,,,,,ءانتقلاا تاقفن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,20,4,,,,,,,,660 026,1 286 075,,1 946 101,,,,,,,,,,ةلجؤملا ءانتقلاا تاقفن غلابم رّيغت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,20,4,,,,,,,,-5 176 565,-11 826 364,,-17 002 929,,,,,,,,,,نيكرتشملا قودنص لهاك ىلع ةرادلإا تاقفن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,20,4,,,,,,,,462 727,1 598 106,,2 060 833,,,,,,,,,,نيمأتلا يديعم نم اهيلع لصحتم تلاومع,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,20,4,,,,,,,,-5 646 886,-15 613 263,,-21 260 149,,,,,,,,,,عومجملا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,21,1,,,,,,,,199 904,-463 618,,-263 714,,,,,,,,,,ةبراضملا ةلومع,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,21,1,,,,,,,,234 971,-706 125,,-471 154,,,,,,,,,,تافيظوتلا يف ىرخأ فرصتلا تاقفن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,21,1,,,,,,,,-70 877,-257 922,,-328 799,,,,,,,,,,تافيظوتلا ىلع ةميقلا حيحصت تاقفن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,21,1,,,,,,,,363 998,-1 427 665,,-1 063 667,,,,,,,,,,عومجملا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,21,2,,,,,,,,-912 663,-7 271 448,,-8 184 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ناوعلأا ءابعا,,,,,,,,,,,,,,,,,
AMANA,21,2,,,,,,,,-449 943,-3 332 679,,-3 782 622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ىرخأ ءابعأ,,,,,,,,,,,,,,,,,
AMANA,21,2,,,,,,,,-696 792,-2 881 793,,-3 578 585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ىرخأ للاغتسا ءابعا,,,,,,,,,,,,,,,,,
AMANA,21,2,,,,,,,,246 849,-450 886,,-204 037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,لوصلأل تارخدملاو تاكلاهتسلاا تاصصخم,,,,,,,,,,,,,,,,,
AMANA,21,2,,,,,,,,-1 362 606,-10 604 127,,-11 966 733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,عومجملا,,,,,,,,,,,,,,,,,
AMANA,21,3,,,,,,,,1 546 242,,,,,,,,,,,,,ةيبساحملا ةنسلا ةيادب يف ةنيزخلا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 693 351,5 239 592,,,,,,,,,,,,,,,
AMANA,21,3,,,,,,,,-5 248 280,,,,,,,,,,,,,للاغتسلاا ةطشنأب ةلصتملا ةيدقنلا تاقفدتلا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3 805 109,10 748 469,,,,,,,,,,,,,,,
AMANA,21,3,,,,,,,,138 002,,,,,,,,,,,,,رامثتسلاا ةطشنأب ةلصتملا ةيدقنلا تاقفدتلا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-354 229,-12 182 625,,,,,,,,,,,,,,,
AMANA,21,3,,,,,,,,6 069 740,,,,,,,,,,,,,ليومتلا ةطشنأب ةلصتملا ةيدقنلا تاقفدتلا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 705 580,-1 260 886,,,,,,,,,,,,,,,
AMANA,21,3,,,,,,,,2 505 703,,,,,,,,,,,,,ةيبساحملا ةنسلا ةياهن يف ةنيزخلا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 239 592,2 544 550,,,,,,,,,,,,,,,
AMANA,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41. 446. 907,ى ربكلا سنوت,,,,,,,,,,,,,
AMANA,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 .352. 931,ل امشلا,,,,,,,,,,,,,
AMANA,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 257. 578,ي لبقلا نطولا,,,,,,,,,,,,,
AMANA,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12. 470 .618,ط سولاو لحاسلا,,,,,,,,,,,,,
AMANA,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 .428. 012,ب ونجلا,,,,,,,,,,,,,
AMANA,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.956.046,ع ومجملا,,,,,,,,,,,,,
AMANA,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"268 876
16 286 905
1 602 944
11 500 000
5 789 600
40 893 500
4 500 000
4 000 000
6 000 000
963 718
0
29 300 000
3 000 000","268 876
16 286 905
1 602 944
11 500 000
5 789 600
40 893 500
4 500 000
4 000 000
6 000 000
963 718
0
29 300 000
3 000 000","270 000
16 445 496
1 676 268
11 500 000
5 789 600
40 893 500
4 500 000
4 000 000
6 000 000
963 718
0
29 300 000
3 000 000",,,,,,,,,
AMANA,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124 105 543,124 105 543,124 338 582,,,,,,,,,
AMANA,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"123 141 824
13 914 274","123 141 824
13 914 274","123 374 863
13 914 274",,,,,,,,,
AMANA,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025/12/31 يف ةموتخملا ةّيبساحملا ةنسّ لل,,,,,,,,
AMANA,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ر انيدلا باسحب,,,,,,,,
AMANA,27,1,ع ومجم,,,ى رخا تافورصمو ليخادم,,,,,,,,"تاسسؤملا يف تافيظوتلا تافورصمو ليخادم
ة مهاسم ةلص تاذو ةطبترملا",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,27,1,,,,,,,,,,,,,,,,,,,ة يراقعلا تافيظوتلا ليخادم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,27,1,,,,,57 115,,,,,,,,21 429,,,,,,تامهاسملا ليخادم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78 544,,,,,,,,
AMANA,27,1,,,,,1 585 574,,,,,,,,5 602 721,,,,,,ىرخلأا تافيظوتلا ليخادم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 188 295,,,,,,,,
AMANA,27,1,,,,,0,,,,,,,,0,,,,,,ىرخلأا ةيلام ليخادم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
AMANA,27,1,,,,,1 642 689,,,,,,,,5 624 150,,,,,,تافيظوتلا تاداريا عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 266 839,,,,,,,,
AMANA,27,1,,,,,-1 373 463,,,,,,,,-160 000,,,,,,تافيظوتلا يف فرصتلا ءابعأ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1 533 463,,,,,,,,
AMANA,27,1,,,,,-126 165,,,,,,,,-453 209,,,,,,ةبراضملا ةلومع,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-579 374,,,,,,,,
AMANA,27,1,,,,,-1 499 628,,,,,,,,-613 209,,,,,,تافيظوتلا ءابعأ عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2 112 837,,,,,,,,
AMANA,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,يلئاعلا يلفاكتلا نيمأتلا ةداعا وأ/و يلفاكتلا نيمأتلا تاسسؤم,,,,,,,
AMANA,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025/12/31يف ةموتخملا ةّيبساحملا ةنسّ لل,,,,,,,
AMANA,29,1,رانيدلا باسحب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,رانيدلا باسحب,,,,,,,
AMANA,29,1,,,,,عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,طبر,,,,,,,
AMANA,29,1,") 1 دومع( 11 ع ر ا
) 1 دومع( 11 ع ع ا
6 ع ع ا + 2 ع ع ا (1 دومع)",,,"14 854 317
-4 954 452
-9 756 042
0",,,,,,,,"نيمات طاسقأ
ة مدخلا ميدقت ءابعأ
ى رخأ ةينف ت ارخدمو يلئاعلا يلفاكتلا نيمأتلا تارخدم ءابعأ
ريغتم لام سأر نيمأت حيحصت",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,29,1,,,,,143 823,,,,,,,,ء انتقلاا صلاخ عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
