societe,page,table_num,"Flux
publiés
2024","Sinistres CSS Autres impôts Dividendes Produits R à S/ Jetons de
R à S/ Fournisseurs Fournisseurs
encaissés sur & Taxe & taxes hors servis nets financiers dividendes présence
IS d'exploitation d'immobilisations
cessions Conjoncturelle (FGA) de R à S encaissés versés servis","Flux
retraités
2024","Développements
en cours","Agencements
et
aménagements","Matériels de
transport","Matériels et
équipements de
bureau","Matériels
informatiques","Matériel
d'exploitation","Œuvres
d'arts",Total,Désignation,31/12/2025,col,col_2,31/12/2024,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,Exercice,Exercice_2,Taux,"Exercice
2025",Charges par nature,Charges par destination,"Exercice
2024",Résultat Comptable avant impôt (a),9 272 513,"+ Avoirs en banques, CCP, chèques et caisse",7 330 025,8 782 332,2 025,2 024,Nature de la rémunération,D.G.A (1),D.G.A (2),Administrateurs,Opérations de l'exercice,"GAT
Assurances","GAT
Investissement","GAT
Immobilier","GAT
Promotion
immobilière",GAT,Soldes à la fin de l'exercice,Engagements hors bilan,"Exercice de survenance
Année d'inventaire
2021 2022 2023 2024 2025","Revenus et frais financiers
concernant les placements
dans des entreprises liées et
avec lien de participation","Autres revenus
et frais financiers",Revenus et frais financiers,"Raccordement
selon Annexe n° 15
NCT 26",Type du client,"Composition du
portefeuille",Indice de référence,Benchmark
GAT,26,1,,,,,,,,,,,,Billets de trésorerie,29 685,29 685,-,29 685,29 685,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Actions et titres cotés,13 152 307,94 833,13 057 475,15 220 158,113 760,15 106 398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Actions et parts d'OPCVM,43 742 512,22 513,43 719 999,20 547 194,1 329,20 545 865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Actions et titres non cotés,1 763 690,408 740,1 354 950,1 759 290,410 231,1 349 059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Avances sur contrats d'assurance vie,3 553 880,6 500,3 547 380,2 965 233,-,2 965 233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Prêts au personnel,113 764,6 609,107 155,11 428,5 000,6 428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,1,,,,,,,,,,,,Total (1)+(2),373 005 918,568 880,372 437 038,303 951 184,560 006,303 391 178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,2,,,,,,,,,,,,,,Titres FCP représentant les contrats UC (1),,,3 433 350,,3 065 610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,2,,,,,,,,,,,,FCP GAT VIE CROISSANCE,2 234 738,,,1 979 669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,2,,,,,,,,,,,,FCP GAT VIE MODERE,1 198 612,,,1 085 941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,2,,,,,,,,,,,,,,Autres actifs supports des contrats UC (2),,,3 237 218,,4 793 297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,2,,,,,,,,,,,,Bon de trésor assimilables,1 377 000,,,1 104 238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,2,,,,,,,,,,,,Obligations,1 859 000,,,1 554 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,2,,,,,,,,,,,,Compte à terme,-,,,1 995 204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,2,,,,,,,,,,,,Autres actions et parts d'OPCVM,1 218,,,139 855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,26,2,,,,,,,,,,,,,,Total (1) + (2),,,6 670 568,,7 858 906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,1,,,,,,,,,,,,,Brut,Provisions,Net,Brut,Provisions,Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,1,,,,,,,,,,,,Créances nées d’opérations d’assurances directes,1 396 101,107 062,1 289 040,2 586 998,273 652,2 313 346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,1,,,,,,,,,,,,Créances nées d’opérations de réassurances,3 158 597,646 342,2 512 254,2 586 246,387 805,2 198 441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,1,,,,,,,,,,,,Etat et organismes de sécurité sociale,18 236 312,144 200,18 092 112,13 506 116,-,13 506 116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,1,,,,,,,,,,,,Débiteurs divers,102 457,86 406,16 051,33 317,-,33 317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,1,,,,,,,,,,,,Total (1)+(2),22 893 467,984 009,21 909 458,18 712 677,661 458,18 051 219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,2,,,,,,,,,,,,"Avoirs en banques, CCP, chèques et caisse",7 244 276,,,8 667 614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,2,,,,,,,,,,,,Comptes de régularisation,12 565 666,,,10 867 682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,2,,,,,,,,,,,,Total,19 809 941,,,19 535 295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAT,27,3,,,,,,,,,,,,Intérêts acquis et non échus,7 845 789,,,6 378 085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
